sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton._psivdx {degree},rkt.newton._thtvdx {degree},rkt.newton._dvbi {m/s},rkt.newton._SBII[0] {m},rkt.newton._SBII[1] {m},rkt.newton._SBII[2] {m},rkt.newton._VBII[0] {m/s},rkt.newton._VBII[1] {m/s},rkt.newton._VBII[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                   0,   120.8935051792126,   22.13891698558047,   100.0012179389596,   89.99752228599037,   86.62681585766455,   431.1432541690396,  -3034853.610415106,   5072175.582595862,   2388797.028118508,  -370.9209856025722,  -219.7761593481478,  0.7535497747230003,-1.935018686396629e-06,4.62094715280978e-08,   1.213282959053678, 0.00588390972115592,   2.426565918107348,        14067.955555,         8888.855555,   222591.4970687259
                 0.1,   120.8935053384644,   22.13891698657208,   100.2312304442748,   89.39935561032279,   85.36762643040956,   431.2393463409452,  -3034890.720691633,   5072153.626314838,   2388797.114902316,  -371.2846324892955,  -219.3493351144811,  0.9821887240104417,   1.257439762113892,-0.04824916464988882,   1.213256269124425,0.007658836107972387,    4.11124961657828,        14059.066555,   8879.966554999999,   222592.1995431232
                 0.2,   120.8935055877639,   22.13891698955168,   100.5214212406427,   89.16740869292968,   84.58414262318537,   431.3363369827922,  -3034927.867359115,   5072131.712754047,   2388797.224568722,  -371.6488045989132,  -218.9217545890723,   1.211201706446154,   2.043931833685379,-0.07848518528452027,   1.213222464019377,0.009447890734770637,   6.256091232713992,        14050.177555,         8871.077555,   222593.0892825249
                 0.3,   120.8935059271598,   22.13891699451877,   100.8718896955252,   89.04436292780433,   84.05056546585485,   431.4342296491644,  -3034965.050470059,   5072109.841989118,   2388797.357155123,  -372.0135017490289,  -218.4934180562942,   1.440588584820153,   2.579128592281968,-0.09903403240749764,   1.213181623485571, 0.01124110199062196,   8.855907480855633,        14041.288555,   8862.188555000001,     222594.16418436
                 0.4,   120.8935063567006,    22.1389170014729,   101.2827351242304,   88.96821880861739,   83.66438234095563,   431.5330278900604,  -3035002.270076962,   5072088.014095626,   2388797.512698899,  -372.3787237531564,  -218.0643258064478,   1.670349218999384,   2.966272393661859, -0.1138827946632822,   1.213133736475923, 0.01303796827543666,   11.91280309117702,        14032.399555,         8853.299555,   222595.4245349839
                 0.5,    120.893506876431,   22.13891701041346,   101.7540568392724,   88.91655468058157,   83.37250503391557,   431.6327239506751,  -3035039.526231968,   5072066.229149366,   2388797.691237416,  -372.7444611253282,  -217.6344716459609,    1.90048332060506,   3.258760249422068, -0.1250910432129455,   1.213078792039534, 0.01483822920835339,   15.42886510802208,        14023.510555,         8844.410555,   222596.8706174512
                 0.6,   120.8935074863845,   22.13891702133944,   102.2859541801736,   88.87927299803393,    83.1445766709451,   431.7333168776501,  -3035076.818986257,   5072044.487226755,   2388797.892808006,  -373.1107099711307,  -217.2038532938899,   2.130990685691118,   3.487087579391421, -0.1338337380099686,   1.213016779318507,    0.01664173739768,   19.40616600613871,        14014.621555,   8835.521554999999,    222598.502711595
                 0.7,   120.8935081865945,   22.13891703424983,   102.8785264538601,   88.85115511135751,    82.9619806887806,   431.8348097722868,  -3035114.148390991,   5072022.788404183,    2388798.11744799,  -373.4774697298033,  -216.7724708073406,   2.361871158989201,   3.669942034667918, -0.1408302331154649,   1.212947687555632, 0.01844840405681905,    23.8467647106452,        14005.732555,         8826.632555,   222600.3210938211
                 0.8,    120.893508977093,   22.13891704914359,   103.5318729188293,   88.82923573563706,   82.81269215551704,   431.9372049976225,  -3035151.514497194,   5072001.132758079,    2388798.36519467,  -373.8447392340433,  -216.3403238259873,    2.59312457380219,   3.819382505263007, -0.1465443598936025,   1.212871506095756, 0.02025817260658099,   28.75270510296931,        13996.843555,   8817.743554999999,   222602.3260370682
                 0.9,   120.8935098579113,   22.13891706601964,   104.2460928196087,   88.81170456846161,   82.68859347651583,   432.0405050952425,  -3035188.917355795,   5071979.520364908,   2388798.636085334,   -374.212517463672,  -215.9074120996739,   2.824750763314313,   3.943541844554921, -0.1512887323547119,   1.212788224383895, 0.02207100568363704,   34.12601615075363,        13987.954555,   8808.854554999998,    222604.517810853
                   1,   120.8935108290791,   22.13891708487679,   105.0212853569537,   88.79739379674018,   82.58400643246932,   432.1447127784092,  -3035226.357017619,   5071957.951301157,   2388798.930157246,  -374.5808035400407,  -215.4737354847594,   3.056749560417614,   4.048102589915592, -0.1552816539591058,   1.212697831968137, 0.02388687792908991,   39.96871176346685,        13979.065555,   8799.965554999999,   222606.8966811911
